!! zhugs nyid	⟨!!⟩་ཞུགས་ཉིད
!!don du	⟨!!don⟩་དུ
!!lcags sgrog ma	⟨!!lcags⟩་སྒྲོག་མ
!!mdog dbyibs can	⟨!!mdog⟩་དབྱིབས་ཅན
!!mid par byed pa	⟨!!mid⟩་པར་བྱེད་པ
!!ming can	⟨!!ming⟩་ཅན
!!mtshon cha can	⟨!!mtshon⟩་ཆ་ཅན
!!ra bcas	⟨!!ra⟩་བཅས
!!rnam pa can	⟨!!rnam⟩་པ་ཅན
!!snod du gyur	⟨!!snod⟩་དུ་གྱུར
!!theg pa pa	⟨!!theg⟩་པ་པ
'am ci	འམ་ཅི
'dab bdun las 'khrungs	འདབ་བདུན་ལས་འཁྲུངས
'dab brgya	འདབ་བརྒྱ
'dab brgya'i	འདབ་བརྒྱའི
'dab bu che	འདབ་བུ་ཆེ
'dab bzang	འདབ་བཟང
'dab bzangs	འདབ་བཟངས
'dab chags dbang	འདབ་ཆགས་དབང
'dab chags gser ldan	འདབ་ཆགས་གསེར་ལྡན
'dab dmar	འདབ་དམར
'dab gshog zad pa	འདབ་གཤོག་ཟད་པ
'dab ma	འདབ་མ
'dab ma 'jig pa	འདབ་མ་འཇིག་པ
'dab ma 'khyil	འདབ་མ་འཁྱིལ
'dab ma bdun ma	འདབ་མ་བདུན་མ
'dab ma can	འདབ་མ་ཅན
'dab ma gnyis kyis mtshan pa	འདབ་མ་གཉིས་ཀྱིས་མཚན་པ
'dab ma snum	འདབ་མ་སྣུམ
'dab ma'i mal stan	འདབ་མའི་མལ་སྟན
'dab ma'i mdzod	འདབ་མའི་མཛོད
'dab phreng	འདབ་ཕྲེང
'dab skyob	འདབ་སྐྱོབ
'dabs	འདབས
'dag khu	འདག་ཁུ
'dag rdzas kyi khrus	འདག་རྫས་ཀྱི་ཁྲུས
'dam	འདམ
'dam bu	འདམ་བུ
'dam bu'i khyim	འདམ་བུའི་ཁྱིམ
'dam bu'i nya	འདམ་བུའི་ཉ
'dam bu'i tshal skyes	འདམ་བུའི་ཚལ་སྐྱེས
'dam bu'i tshogs pa	འདམ་བུའི་ཚོགས་པ
'dam ga	འདམ་ག
'dam kha	འདམ་ཁ
'dam las	འདམ་ལས
'dam las brgal ba	འདམ་ལས་བརྒལ་བ
'dam nga	འདམ་ང
'dam nya	འདམ་ཉ
'dam skyes	འདམ་སྐྱེས
'dams	འདམས
'dang gi pa	འདང་གི་པ
'dar	འདར
'dar ba	འདར་བ
'dar ba byed cing	འདར་བ་བྱེད་ཅིང
'dar bar byas	འདར་བར་བྱས
'dar bar gyur	འདར་བར་གྱུར
'dar bar mi 'gyur	འདར་བར་མི་འགྱུར
'dar bskyed byed	འདར་བསྐྱེད་བྱེད
'dar byed skyes	འདར་བྱེད་སྐྱེས
'dar bzhin	འདར་བཞིན
'dar dang bcas pa	འདར་དང་བཅས་པ
'dar ma yin	འདར་མ་ཡིན
'dar pa	འདར་པ
'dar zhing	འདར་ཞིང
'das	འདས
'das dus	འདས་དུས
'das gyur	འདས་གྱུར
'das pa	འདས་པ
'das pa dang ma 'ongs pa da ltar byung ba	འདས་པ་དང་མ་འོངས་པ་ད་ལྟར་བྱུང་བ
'das pa la sogs par dbye ba	འདས་པ་ལ་སོགས་པར་དབྱེ་བ
'das pa'i dus na	འདས་པའི་དུས་ན
'das pa'i sangs rgyas	འདས་པའི་སངས་རྒྱས
'das pa'i spyod tshul	འདས་པའི་སྤྱོད་ཚུལ
'das par byung bar gyur pa	འདས་པར་བྱུང་བར་གྱུར་པ
'das shing	འདས་ཤིང
'das smra ba	འདས་སྨྲ་བ
'debs	འདེབས
'debs byed pa	འདེབས་བྱེད་པ
'debs chad	འདེབས་ཆད
'debs par bgyid	འདེབས་པར་བགྱིད
'debs par byed	འདེབས་པར་བྱེད
'ded pa	འདེད་པ
'deg pa	འདེག་པ
'degs 'gro	འདེགས་འགྲོ
'deng 'bras bral	འདེང་འབྲས་བྲལ
'des pa	འདེས་པ
'di 'dra ba	འདི་འདྲ་བ
'di 'dras	འདི་འདྲས
'di bzhin nyid du	འདི་བཞིན་ཉིད་དུ
'di dag bsten na	འདི་དག་བསྟེན་ན
'di dag la	འདི་དག་ལ
'di dag nyid kyis	འདི་དག་ཉིད་ཀྱིས
'di dag phan tshun	འདི་དག་ཕན་ཚུན
'di dang 'di	འདི་དང་འདི
'di dang 'di skad ces so	འདི་དང་འདི་སྐད་ཅེས་སོ
'di gas 'di	འདི་གས་འདི
'di gcig po	འདི་གཅིག་པོ
'di gnyis kho na'i	འདི་གཉིས་ཁོ་ནའི
'di gnyis ni rab tu byung ba'i ~~	འདི་གཉིས་ནི་རབ་ཏུ་བྱུང་བའི་⟨~~⟩
'di gnyis rab byung bar chad bgegs byed yin	འདི་གཉིས་རབ་བྱུང་བར་ཆད་བགེགས་བྱེད་ཡིན
'di la	འདི་ལ
'di la med pa	འདི་ལ་མེད་པ
'di la rma ci 'tshal te	འདི་ལ་རྨ་ཅི་འཚལ་ཏེ
'di la sogs pa	འདི་ལ་སོགས་པ
'di la thugs ngan bgyir ci mchis	འདི་ལ་ཐུགས་ངན་བགྱིར་ཅི་མཆིས
'di las kyang	འདི་ལས་ཀྱང
'di lta	འདི་ལྟ
'di lta bu	འདི་ལྟ་བུ
'di lta bu'i tshul	འདི་ལྟ་བུའི་ཚུལ
'di lta bur	འདི་ལྟ་བུར
'di lta kho na	འདི་ལྟ་ཁོ་ན
'di lta ste	འདི་ལྟ་སྟེ
'di ltar 'das pa	འདི་ལྟར་འདས་པ
'di ltar yang	འདི་ལྟར་ཡང
'di mthong ba la yod pa	འདི་མཐོང་བ་ལ་ཡོད་པ
'di nas	འདི་ནས
'di ni	འདི་ནི
'di ni 'gog pa	འདི་ནི་འགོག་པ
'di ni sdug bsngal 'gog pa'i lam	འདི་ནི་སྡུག་བསྔལ་འགོག་པའི་ལམ
'di ni yod do	འདི་ནི་ཡོད་དོ
'di nyid du	འདི་ཉིད་དུ
'di nyid nas	འདི་ཉིད་ནས
'di rnams kyang	འདི་རྣམས་ཀྱང
'di rnams kyi	འདི་རྣམས་ཀྱི
'di ru	འདི་རུ
'di skad bstan te	འདི་སྐད་བསྟན་ཏེ
'di skad ces bka' stsal to	འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ
'di skad ces gsol to	འདི་སྐད་ཅེས་གསོལ་ཏོ
'di skad gsung ba	འདི་སྐད་གསུང་བ
'di skyes pas 'di skye	འདི་སྐྱེས་པས་འདི་སྐྱེ
'di snyam du sems	འདི་སྙམ་དུ་སེམས
'di snyam du sems te … snyam mo	འདི་སྙམ་དུ་སེམས་ཏེ་སྙམ་མོ
'di snyam du … snyam du sems bskyed na	འདི་སྙམ་དུ་སྙམ་དུ་སེམས་བསྐྱེད་ན
'di srid du	འདི་སྲིད་དུ
'di srid gcig tu ring du gnas so	འདི་སྲིད་གཅིག་ཏུ་རིང་དུ་གནས་སོ
'di tsam	འདི་ཙམ
'di tsam gyis	འདི་ཙམ་གྱིས
'di tsam kho na	འདི་ཙམ་ཁོ་ན
'di tsam zhes pa	འདི་ཙམ་ཞེས་པ
'di yin	འདི་ཡིན
'di yis	འདི་ཡིས
'di … du	འདི་དུ
'di'i gong na	འདིའི་གོང་ན
'di'i khyim phub (dbub) pa'i dus la bab	འདིའི་ཁྱིམ་ཕུབ་⟨(dbub)⟩་པའི་དུས་ལ་བབ
'di'i khyim ~~'i dus la bab	འདིའི་ཁྱིམ་⟨~~'i⟩་དུས་ལ་བབ
'di'i mchid nas … zhes mchi'o	འདིའི་མཆིད་ནས་ཞེས་མཆིའོ
'dings par 'gyur (na)	འདིངས་པར་འགྱུར་⟨(na)⟩
'dir 'dus pa	འདིར་འདུས་པ
'dir ci bya	འདིར་ཅི་བྱ
'dir yang	འདིར་ཡང
'dod 'bor	འདོད་འབོར
'dod 'gyur ba	འདོད་འགྱུར་བ
'dod 'jo ba	འདོད་འཇོ་བ
'dod 'jo'i ba	འདོད་འཇོའི་བ
'dod 'jo'i ngo bo nyid	འདོད་འཇོའི་ངོ་བོ་ཉིད
'dod 'os pa	འདོད་འོས་པ
'dod bskyed na	འདོད་བསྐྱེད་ན
'dod byed cing	འདོད་བྱེད་ཅིང
'dod bzhin rgyu byed	འདོད་བཞིན་རྒྱུ་བྱེད
'dod can	འདོད་ཅན
'dod chags bral 'gyur rgyu	འདོད་ཆགས་བྲལ་འགྱུར་རྒྱུ
'dod chags bral ba	འདོད་ཆགས་བྲལ་བ
'dod chags bral bar	འདོད་ཆགས་བྲལ་བར
'dod chags dang bcas pa nyid	འདོད་ཆགས་དང་བཅས་པ་ཉིད
'dod chags dang bral ba	འདོད་ཆགས་དང་བྲལ་བ
'dod chags dang bral bar bgyi ba	འདོད་ཆགས་དང་བྲལ་བར་བགྱི་བ
'dod chags dang bral nas rnam par grol bar 'gyur ro	འདོད་ཆགས་དང་བྲལ་ནས་རྣམ་པར་གྲོལ་བར་འགྱུར་རོ
'dod chags dang ma bral ba	འདོད་ཆགས་དང་མ་བྲལ་བ
'dod chags dang zhe sdang dang gti mug	འདོད་ཆགས་དང་ཞེ་སྡང་དང་གཏི་མུག
'dod chags dga' ma'i sgrub thabs	འདོད་ཆགས་དགའ་མའི་སྒྲུབ་ཐབས
'dod chags gter	འདོད་ཆགས་གཏེར
'dod chags kyi kun sbyor	འདོད་ཆགས་ཀྱི་ཀུན་སྦྱོར
'dod chags la chags	འདོད་ཆགས་ལ་ཆགས
'dod chags la sogs nyes brgya yi	འདོད་ཆགས་ལ་སོགས་ཉེས་བརྒྱ་ཡི
'dod chags la sogs pa dang ldan pa nyid	འདོད་ཆགས་ལ་སོགས་པ་དང་ལྡན་པ་ཉིད
'dod chags las yang dag par 'das pa	འདོད་ཆགས་ལས་ཡང་དག་པར་འདས་པ
'dod chags par byed	འདོད་ཆགས་པར་བྱེད
'dod chags spyod ... spyod pas	འདོད་ཆགས་སྤྱོད་སྤྱོད་པས
'dod chags tshul bzhi	འདོད་ཆགས་ཚུལ་བཞི
'dod chags zhe sdang spangs pa	འདོད་ཆགས་ཞེ་སྡང་སྤངས་པ
'dod chen pa	འདོད་ཆེན་པ
'dod chen pa'i tshig	འདོད་ཆེན་པའི་ཚིག
'dod cing	འདོད་ཅིང
'dod dang ldan zhing	འདོད་དང་ལྡན་ཞིང
'dod dgar song gyur pa	འདོད་དགར་སོང་གྱུར་པ
'dod don la sbyor ba	འདོད་དོན་ལ་སྦྱོར་བ
'dod dran dgra	འདོད་དྲན་དགྲ
'dod gnas sel ba	འདོད་གནས་སེལ་བ
'dod gyur pa	འདོད་གྱུར་པ
'dod khams kyi lha	འདོད་ཁམས་ཀྱི་ལྷ
'dod kyi	འདོད་ཀྱི
'dod la ma chags	འདོད་ལ་མ་ཆགས
'dod la rag las	འདོད་ལ་རག་ལས
'dod ldan gsar pa	འདོད་ལྡན་གསར་པ
'dod ldan nyid	འདོད་ལྡན་ཉིད
'dod lha drug	འདོད་ལྷ་དྲུག
'dod log spyod	འདོད་ལོག་སྤྱོད
'dod ma yin	འདོད་མ་ཡིན
'dod me'i du ba	འདོད་མེའི་དུ་བ
'dod mi byed	འདོད་མི་བྱེད
'dod na	འདོད་ན
'dod nye tshig	འདོད་ཉེ་ཚིག
'dod pa 'phel ba	འདོད་པ་འཕེལ་བ
'dod pa 'tshol	འདོད་པ་འཚོལ
'dod pa bskyed pa	འདོད་པ་བསྐྱེད་པ
'dod pa bsten	འདོད་པ་བསྟེན
'dod pa bzhin	འདོད་པ་བཞིན
'dod pa che ba	འདོད་པ་ཆེ་བ
'dod pa chung ba	འདོད་པ་ཆུང་བ
'dod pa chung ste	འདོད་པ་ཆུང་སྟེ
'dod pa dag dang ldan	འདོད་པ་དག་དང་ལྡན
'dod pa dag gis ma gos pa	འདོད་པ་དག་གིས་མ་གོས་པ
'dod pa dang spyod pa	འདོད་པ་དང་སྤྱོད་པ
'dod pa dran pa'i sdig	འདོད་པ་དྲན་པའི་སྡིག
'dod pa la 'dod chags	འདོད་པ་ལ་འདོད་ཆགས
'dod pa la gnod pa byed pa'i phyir	འདོད་པ་ལ་གནོད་པ་བྱེད་པའི་ཕྱིར
'dod pa la log par g.yem par byed	འདོད་པ་ལ་ལོག་པར་གཡེམ་པར་བྱེད
'dod pa la longs spyod pa	འདོད་པ་ལ་ལོངས་སྤྱོད་པ
'dod pa la mngon par chags pa	འདོད་པ་ལ་མངོན་པར་ཆགས་པ
'dod pa log par g-yem pa	འདོད་པ་ལོག་པར་⟨g-yem⟩་པ
'dod pa ma mchis pa	འདོད་པ་མ་མཆིས་པ
'dod pa ngan pa	འདོད་པ་ངན་པ
'dod pa nyung pa	འདོད་པ་ཉུང་པ
'dod pa rgyal po'i bka' yig rgyu ldan	འདོད་པ་རྒྱལ་པོའི་བཀའ་ཡིག་རྒྱུ་ལྡན
'dod pa rnams kun tu 'bar ba	འདོད་པ་རྣམས་ཀུན་ཏུ་འབར་བ
'dod pa sbyin	འདོད་པ་སྦྱིན
'dod pa sbyin pa	འདོད་པ་སྦྱིན་པ
'dod pa yi don	འདོད་པ་ཡི་དོན
'dod pa yin	འདོད་པ་ཡིན
'dod pa'i 'dod chags	འདོད་པའི་འདོད་ཆགས
'dod pa'i bar srid	འདོད་པའི་བར་སྲིད
'dod pa'i blo	འདོད་པའི་བློ
'dod pa'i dga' ma	འདོད་པའི་དགའ་མ
'dod pa'i dri nga ba med pa	འདོད་པའི་དྲི་ང་བ་མེད་པ
'dod pa'i dug 'bebs	འདོད་པའི་དུག་འབེབས
'dod pa'i gdon	འདོད་པའི་གདོན
'dod pa'i gtam	འདོད་པའི་གཏམ
'dod pa'i gtso	འདོད་པའི་གཙོ
'dod pa'i gzhu yi 'khri shing	འདོད་པའི་གཞུ་ཡི་འཁྲི་ཤིང
'dod pa'i khams su gtogs pa	འདོད་པའི་ཁམས་སུ་གཏོགས་པ
'dod pa'i khol pa	འདོད་པའི་ཁོལ་པ
'dod pa'i lag 'gro	འདོད་པའི་ལག་འགྲོ
'dod pa'i las can	འདོད་པའི་ལས་ཅན
'dod pa'i las spangs pa	འདོད་པའི་ལས་སྤངས་པ
'dod pa'i mchog	འདོད་པའི་མཆོག
'dod pa'i ngal dub	འདོད་པའི་ངལ་དུབ
'dod pa'i nye bar spyod pa	འདོད་པའི་ཉེ་བར་སྤྱོད་པ
'dod pa'i rang bzhin	འདོད་པའི་རང་བཞིན
'dod pa'i rba rlabs	འདོད་པའི་རྦ་རླབས
'dod pa'i rgyu nyid	འདོད་པའི་རྒྱུ་ཉིད
'dod pa'i rnam 'gyur	འདོད་པའི་རྣམ་འགྱུར
'dod pa'i rten can	འདོད་པའི་རྟེན་ཅན
'dod pa'i yon tan lnga po dag	འདོད་པའི་ཡོན་ཏན་ལྔ་པོ་དག
'dod pa'i yongs su gdung ba dag gis yongs su gdungs pa	འདོད་པའི་ཡོངས་སུ་གདུང་བ་དག་གིས་ཡོངས་སུ་གདུངས་པ
'dod par byed	འདོད་པར་བྱེད
'dod par gyur	འདོད་པར་གྱུར
'dod par gyur pa	འདོད་པར་གྱུར་པ
'dod par skye	འདོད་པར་སྐྱེ
'dod pas	འདོད་པས
'dod pas log par g-yem pa spong ba	འདོད་པས་ལོག་པར་⟨g-yem⟩་པ་སྤོང་བ
'dod pas log par spyod pa	འདོད་པས་ལོག་པར་སྤྱོད་པ
'dod pas long ba	འདོད་པས་ལོང་བ
'dod pas myos pa nyid gyur	འདོད་པས་མྱོས་པ་ཉིད་གྱུར
'dod pas nyer bstan	འདོད་པས་ཉེར་བསྟན
'dod pas zil mnan	འདོད་པས་ཟིལ་མནན
'dod rgyal	འདོད་རྒྱལ
'dod rgyus	འདོད་རྒྱུས
'dod rtsen	འདོད་རྩེན
'dod sems dgu pa'i ting nge 'dzin	འདོད་སེམས་དགུ་པའི་ཏིང་ངེ་འཛིན
'dod skyod	འདོད་སྐྱོད
'dod tshul	འདོད་ཚུལ
'dod zhen	འདོད་ཞེན
'dogs	འདོགས
'dogs pa po'i tha snyad	འདོགས་པ་པོའི་ཐ་སྙད
'dogs pa'i gzhi	འདོགས་པའི་གཞི
'dogs pa'i ka	འདོགས་པའི་ཀ
'dogs pa'i ka ba	འདོགས་པའི་ཀ་བ
'dogs par mdzad do	འདོགས་པར་མཛད་དོ
'dom par gyur to khri dang khri'u dag ~~	འདོམ་པར་གྱུར་ཏོ་ཁྲི་དང་ཁྲིའུ་དག་⟨~~⟩
'doms dkris	འདོམས་དཀྲིས
'doms kyi sba ba nub pa'i mchog	འདོམས་ཀྱི་སྦ་བ་ནུབ་པའི་མཆོག
'doms kyi sba ba … nub pa'i mchog	འདོམས་ཀྱི་སྦ་བ་ནུབ་པའི་མཆོག
'doms pa'i bla	འདོམས་པའི་བླ
'doms par byed	འདོམས་པར་བྱེད
'don	འདོན
'don byed	འདོན་བྱེད
'don cig	འདོན་ཅིག
'don par bgyi	འདོན་པར་བགྱི
'don par yang byed	འདོན་པར་ཡང་བྱེད
'dong 'gyur ba	འདོང་འགྱུར་བ
'dong ba	འདོང་བ
'dong bar bya	འདོང་བར་བྱ
'dor	འདོར
'dor ba med pa stong pa nyid	འདོར་བ་མེད་པ་སྟོང་པ་ཉིད
'dor ba nyid du	འདོར་བ་ཉིད་དུ
'dor ba'i nus pa yod pa yin	འདོར་བའི་ནུས་པ་ཡོད་པ་ཡིན
'dor bar byed	འདོར་བར་བྱེད
'dor bar byed pa	འདོར་བར་བྱེད་པ
'dor bya	འདོར་བྱ
'dor kha ba	འདོར་ཁ་བ
'dra	འདྲ
'dra ba gzhan byung	འདྲ་བ་གཞན་བྱུང
'dra ba nyid	འདྲ་བ་ཉིད
'dra bar 'gyur	འདྲ་བར་འགྱུར
'dra cog	འདྲ་ཅོག
'dra zhing mtshungs	འདྲ་ཞིང་མཚུངས
'drad pa	འདྲད་པ
'drag mthil	འདྲག་མཐིལ
'drar	འདྲར
'dre ba'i bzo	འདྲེ་བའི་བཟོ
'dre bgegs	འདྲེ་བགེགས
'dre chen	འདྲེ་ཆེན
'dre ldog cing	འདྲེ་ལྡོག་ཅིང
'dreg dpyad	འདྲེག་དཔྱད
'dreg mkhan	འདྲེག་མཁན
'dreg mkhan gyi lag cha	འདྲེག་མཁན་གྱི་ལག་ཆ
'dren byed dkar min	འདྲེན་བྱེད་དཀར་མིན
'dren byed g-yo ba'i autpa la	འདྲེན་བྱེད་⟨g-yo⟩་བའི་ཨཽཏྤ་ལ
'dren byed ma tshangs	འདྲེན་བྱེད་མ་ཚངས
'dren dang 'byin	འདྲེན་དང་འབྱིན
'dren ma	འདྲེན་མ
'dren pa 'od zer bcu pa'i mtshan	འདྲེན་པ་འོད་ཟེར་བཅུ་པའི་མཚན
'dren pa bla med rin chen 'od	འདྲེན་པ་བླ་མེད་རིན་ཆེན་འོད
'dren pa chen po	འདྲེན་པ་ཆེན་པོ
'dren pa dbang po'i rgyal mtshan che	འདྲེན་པ་དབང་པོའི་རྒྱལ་མཚན་ཆེ
'dren pa don gnas mkhyen pa che	འདྲེན་པ་དོན་གནས་མཁྱེན་པ་ཆེ
'dren pa gzi brjid rgyal po mchog	འདྲེན་པ་གཟི་བརྗིད་རྒྱལ་པོ་མཆོག
'dren pa mi 'jigs shin tu gzigs	འདྲེན་པ་མི་འཇིགས་ཤིན་ཏུ་གཟིགས
'dren pa mkhyen ldan bla med pa	འདྲེན་པ་མཁྱེན་ལྡན་བླ་མེད་པ
'dren pa mnyam med bden pa'i tog	འདྲེན་པ་མཉམ་མེད་བདེན་པའི་ཏོག
