# pyewts.toWylie reference fixtures (OpenPecha/pyewts master, Apache-2.0)
# inputs: hgm_dictionary_v27_2 tibetan column + strided 84000 TM native unicode
ཀ	ka
དཀའ་བ་བགྱིད་པ	dka' ba bgyid pa
དཀའ་བ་སྤྱད་པ། དཀའ་སྤྱད། དཀའ་སྤྱོད། དཀའ་བ་སྤྱོད་པ	dka' ba spyad pa/_dka' spyad/_dka' spyod/_dka' ba spyod pa
དཀའ་བ་སྤྱོད་པ། དཀའ་སྤྱོད། དཀའ་སྤྱད། དཀའ་བ་སྤྱད་པ	dka' ba spyod pa/_dka' spyod/_dka' spyad/_dka' ba spyad pa
དཀའ་བ་བྱེད་པ་ཡིན་པ	dka' ba byed pa yin pa
དཀའ་བ་ཡིན	dka' ba yin
དཀའ་བ་ཡུན་རིང་པོས་མི་སྐྱོ་བ	dka' ba yun ring pos mi skyo ba
དཀའ་ཟློག	dka' zlog
དཀའ་ཟློག་དད	dka' zlog dad
དཀའ་ས	dka' sa
དཀར་སྐྱ	dkar skya
དཀར་ཁུང	dkar khung
དཀར་ཆག	dkar chag
དཀར་ནག་གི་ལས	dkar nag gi las
དཀར་པོ	dkar po
དཀར་པོ་རྣམ་པར་མཐོང་བའི་ས	dkar po rnam par mthong ba'i sa
དཀར་པོའི་ཆོས	dkar po'i chos
དཀར་པོའི་ཆོས་རྣམས་ཀུན་ཏུ་བཅོམ	dkar po'i chos rnams kun tu bcom
དཀར་པོའི་ཕྱོགས	dkar po'i phyogs
དཀར་དམར་མདངས་གསལ	dkar dmar mdangs gsal
དཀར་ཡོལ	dkar yol
དཀར་གསལ	dkar gsal
དཀུ	dku
དཀུ་གཙང	dku gtsang
དཀོན་མཆོག	dkon mchog
དཀོན་མཆོག་གི་སྤྲིན	dkon mchog gi sprin
དཀོན་མཆོག་འཇིགས་མེད་དབང་པོ	dkon mchog 'jigs med dbang po
དཀོན་མཆོག་རྗེས་དྲན	dkon mchog rjes dran
དཀོན་མཆོག་བསྟན་པའི་སྒྲོན་མེ། གུང་ཐང་དཀོན་མཆོག་བསྟན་པའི་སྒྲོན་མེ། གུང་ཐང་འཇམ་དཔལ་དབྱངས	dkon mchog bstan pa'i sgron me/_gung thang dkon mchog bstan pa'i sgron me/_gung thang 'jam dpal dbyangs
དཀོན་མཆོག་སྤྲིན	dkon mchog sprin
དཀོན་མཆོག་སྤྲིན་གྱི་མདོ	dkon mchog sprin gyi mdo
དཀོན་མཆོག་བརྩེགས་པ	dkon mchog brtsegs pa
དཀོན་མཆོག་རིན་ཆེན་གསུམ	dkon mchog rin chen gsum
དཀོན་མཆོག་གསུམ	dkon mchog gsum
དཀོན་པ	dkon pa
དཀོན་པོ	dkon po
དཀར། དཀར་པོ	dkar/_dkar po
དཀོན། དཀོན་པོ	dkon/_dkon po
དཀྱིལ	dkyil
དཀྱིལ་འཁོར	dkyil 'khor
དཀྱིལ་འཁོར་གྱི་ཁྱམས་ན	dkyil 'khor gyi khyams na
དཀྱིལ་འཁོར་གྱི་ཆོ་ག། དཀྱིལ་ཆོག	dkyil 'khor gyi cho ga/_dkyil chog
དཀྱིལ་འཁོར་རྒྱལ་མཆོག	dkyil 'khor rgyal mchog
དཀྱིལ་འཁོར་ཡོངས་རྫོགས	dkyil 'khor yongs rdzogs
དཀྱིལ་ཆོག། དཀྱིལ་འཁོར་གྱི་ཆོ་ག	dkyil chog/_dkyil 'khor gyi cho ga
དཀྱིལ་སྨད	dkyil smad
དཀྱུས	dkyus
དཀྱུས་བཏགས	dkyus btags
དཀྲི	dkri
དཀྲིས	dkris
དཀྲིས་སམ་བཅིངས་ཏེ	dkris sam bcings te
དཀྲུག	dkrug
དཀྲུག་པར་བྱ	dkrug par bya
དཀྲུགས	dkrugs
དཀྲུགས་ནས	dkrugs nas
དཀྲུགས་པ	dkrugs pa
དཀྲོལ་བ	dkrol ba
བཀག	bkag
བཀག་པ	bkag pa
བཀག་ཤུལ	bkag shul
བཀང	bkang
བཀང་བ	bkang ba
བཀན	bkan
བཀན་ཏེ་བཞག	bkan te bzhag
བཀནད	bkand
བཀའ	bka'
བཀའ་བསྐོ་བ	bka' bsko ba
བཀའ་འགྱུར	bka' 'gyur
བཀའ་རྒྱ་དམ་པོ	bka' rgya dam po
བཀའ་རྒྱུད	bka' rgyud
བཀའ་བརྒྱུད	bka' brgyud
བཀའ་བསྒོ་བ	bka' bsgo ba
བཀའ་མཆིད	bka' mchid
བཀའ་རྟགས	bka' rtags
བཀའ་རྟགས་ཀྱི་ཕྱག་རྒྱ་བཞི	bka' rtags kyi phyag rgya bzhi
བཀའ་དང་བསྟན་བཅོས	bka' dang bstan bcos
བཀའ་དྲིན	bka' drin
བཀའ་གདམས	bka' gdams
བཀའ་གདམས་གདམས་ངག་པ	bka' gdams gdams ngag pa
བཀའ་གདམས་པ	bka' gdams pa
བཀའ་གདམས་གཞུང་པ་བ	bka' gdams gzhung pa ba
བཀའ་བསྡུ་བཞི་པ	bka' bsdu bzhi pa
བཀའ་བབ	bka' bab
བཀའ་བློན་རོགས	bka' blon rogs
བཀའ་སྩལ	bka' stsal
བཀའ་སྩལ་བདུན	bka' stsal bdun
བཀའ་སྩལ་བ	bka' stsal ba
བཀའ་ཡང་དག་པའི་ཚད་མ	bka' yang dag pa'i tshad ma
བཀའ་རབ་འབྱམས་པ	bka' rab 'byams pa
བཀའ་ལུང	bka' lung
བཀར	bkar
བཀར་བཏགས	bkar btags
བཀར་བ	bkar ba
བཀས་བཅད་པ	bkas bcad pa
བཀུག	bkug
བཀུག་ནས	bkug nas
བཀུར	bkur
བཀུར་རྙེད	bkur rnyed
བཀུར་སྟི	bkur sti
བཀུར་སྟིར་བགྱིས་པར་འགྱུར	bkur stir bgyis par 'gyur
བཀུར་སྟིར་བྱ་བ	bkur stir bya ba
བཀུར་སྟིར་བྱེད	bkur stir byed
བཀུར་བསྟི	bkur bsti
བཀུར་བ	bkur ba
བཀོད	bkod
བཀོད་པ	bkod pa
བཀོད་མའི་ཆུ	bkod ma'i chu
བཀོད་མའི་ཆུ་ལྟ་བུའི་སེམས་བསྐྱེད	bkod ma'i chu lta bu'i sems bskyed
བཀོད་ཚོད་གྱི་རྟགས	bkod tshod gyi rtags
བཀོར་བདག་རྒྱལ་པོ	bkor bdag rgyal po
བཀུར། བཀུར་སྟི	bkur/_bkur sti
བཀྲ་བ	bkra ba
བཀྲ་བའི་སྐད་འབྱིན	bkra ba'i skad 'byin
བཀྲ་མི་ཤིས་པ	bkra mi shis pa
བཀྲ་ཤིས	bkra shis
བཀྲ་ཤིས་ཀུན་ནས་འཁྱིལ་བ	bkra shis kun nas 'khyil ba
བཀྲ་ཤིས་འཁྱིལ	bkra shis 'khyil
བཀྲ་ཤིས་རྟགས་བརྒྱད	bkra shis rtags brgyad
བཀྲ་ཤིས་ཡིན་པ	bkra shis yin pa
བཀྲ་ཤིས་ལྷུན་པོ	bkra shis lhun po
བཀྲལ་བ	bkral ba
བཀྲལ་བ་ལ་ལྟོས་མེད་དུ	bkral ba la ltos med du
བཀྲི་བར་མི་བཏུབ	bkri bar mi btub
བཀྲུ	bkru
བཀྲུ་བ	bkru ba
བཀྲེན	bkren
བཀྲེས	bkres
བཀྲེས་པ	bkres pa
བཀྲེས་པ་དང་སྐོམ་པ་བཟློག་པ	bkres pa dang skom pa bzlog pa
བཀྲོལ་པ	bkrol pa
བཀྲོས་ཕོར	bkros phor
བཀླག	bklag
བཀླགས	bklags
བཀླགས་པས	bklags pas
རྐང་མགྱོགས	rkang mgyogs
རྐང་རྟེན	rkang rten
རྐང་པ	rkang pa
རྐང་པ་སྐུད་པ་དང་བྲལ་བ	rkang pa skud pa dang bral ba
རྐང་པ་སྐོང་ཚེ་ཡི་འཐོབ་བོ	rkang pa skong tshe yi 'thob bo
རྐང་པ་གཉིས་ཀྱི་མཐིལ	rkang pa gnyis kyi mthil
རྐང་པའི་མཐའ་ལ	rkang pa'i mtha' la
རྐང་པའི་མཐིལ	rkang pa'i mthil
རྐང་པའི་འོག་ན་གནས་པ	rkang pa'i 'og na gnas pa
རྐན	rkan
རྐུན་པོ	rkun po
རྐུན་མ	rkun ma
རྐུབ	rkub
རྐུབ་ཀྱག	rkub kyag
རྐྱང	rkyang
རྐྱང་པ	rkyang pa
རྐྱང་མ	rkyang ma
རྐྱེན	rkyen
རྐྱེན་གྱི་དབང་གིས་འཇུག་པ	rkyen gyi dbang gis 'jug pa
རྐྱེན་འགྱུར་གྱི་རིགས	rkyen 'gyur gyi rigs
རྐྱེན་རྒྱལ	rkyen rgyal
རྐྱེན་ཉིད་འདི་པ་ཙམ	rkyen nyid 'di pa tsam
རྐྱེན་བསྟན་པ	rkyen bstan pa
རྐྱེན་དང་ཕྲད	rkyen dang phrad
རྐྱེན་དང་ཕྲད་པར་འདོད་པ	rkyen dang phrad par 'dod pa
རྐྱེན་དུ་མ་ཡིན་པ	rkyen du ma yin pa
རྐྱེན་དེ་དང་དེ་ལ་བརྟེན་ནས་དངོས་པོ་དེ་དང་དེ་དག་འབྱུང་ངོ	rkyen de dang de la brten nas dngos po de dang de dag 'byung ngo
རྐྱེན་འདི་པ་ཙམ་ཉིད	rkyen 'di pa tsam nyid
རྐྱེན་རྣམས་གྲུབ་པ	rkyen rnams grub pa
རྐྱེན་རྣམས་ཚོགས་ནས	rkyen rnams tshogs nas
རྐྱེན་བུ	rkyen bu
རྐྱེན་དབང་གིས་འཇུག་པ	rkyen dbang gis 'jug pa
རྐྱེན་མ་ཚང་བ་མེད་པ	rkyen ma tshang ba med pa
རྐྱེན་མི་ཟད་པ	rkyen mi zad pa
རྐྱེན་ལ་བརྟེན་ནས	rkyen la brten nas
རྐྱེན་ལ་རག་ལས་པ	rkyen la rag las pa
རྐྱེན་ལས་འབྱུང་བ	rkyen las 'byung ba
རྐྱོང	rkyong
རྐྱོངས	rkyongs
ལྐུག་པ	lkug pa
ལྐོག	lkog
ལྐོག་གྱུར	lkog gyur
ལྐོག་ཏུ་མ་གྱུར་པའི་ཆོས	lkog tu ma gyur pa'i chos
ལྐོག་ན་མོ	lkog na mo
ལྐོག་མ	lkog ma
སྐ་བ	ska ba
སྐད	skad
སྐད་ཅིག	skad cig
སྐད་ཅིག་སྐད་ཅིག	skad cig skad cig
སྐད་ཅིག་གཅིག	skad cig gcig
སྐད་ཅིག་གཅིག་གི་རྟོགས་པ	skad cig gcig gi rtogs pa
སྐད་ཅིག་གཅིག་གིས	skad cig gcig gis
སྐད་ཅིག་གཅིག་མངོན་རྫོགས་བྱང་ཆུབ། སྐད་ཅིག་མ་གཅིག་གིས་མངོན་པར་རྫོགས་པར་བྱང་ཆུབ་པ	skad cig gcig mngon rdzogs byang chub/_skad cig ma gcig gis mngon par rdzogs par byang chub pa
སྐད་ཅིག་གཅིག་དང་ལྡན་པ	skad cig gcig dang ldan pa
སྐད་ཅིག་ཆ་མེད	skad cig cha med
སྐད་ཅིག་ཐ་མ	skad cig tha ma
སྐད་ཅིག་དང་པོ	skad cig dang po
སྐད་ཅིག་བར	skad cig bar
སྐད་ཅིག་མ	skad cig ma
སྐད་ཅིག་མ་གཅིག	skad cig ma gcig
སྐད་ཅིག་མ་གཅིག་གིས་མངོན་པར་རྟོགས་པ	skad cig ma gcig gis mngon par rtogs pa
སྐད་ཅིག་མ་གཅིག་པོ	skad cig ma gcig po
སྐད་ཅིག་མ་གཅིག་པོ་དེ་ཉིད	skad cig ma gcig po de nyid
སྐད་ཅིག་མ་ཉིད	skad cig ma nyid
སྐད་ཅིག་མ་ཐ་མ་ལ	skad cig ma tha ma la
སྐད་ཅིག་མ་དང་པོ་དང་ཁྱད་པར་མེད་པ	skad cig ma dang po dang khyad par med pa
སྐད་ཅིག་མ་མ་ཡིན་པ	skad cig ma ma yin pa
པ་མ་ཡིན	pa ma yin
སྐད་ཅིག་མ་ཡིན་པ	skad cig ma yin pa
སྐད་ཅིག་མ་རེ་རེ་ལ	skad cig ma re re la
སྐད་ཅིག་མའི་རྒྱུ་ཡིན་པ	skad cig ma'i rgyu yin pa
སྐད་ཅིག་མའི་འབྲས་བུ་ཡིན་པ	skad cig ma'i 'bras bu yin pa
སྐད་ཅིག་མའི་སྦྱོར་བ	skad cig ma'i sbyor ba
སྐད་ཅིག་ཙམ	skad cig tsam
སྐད་ཅིག་ཙམ་ཡང	skad cig tsam yang
སྐད་ཅིག་རེ་རེ་ལ	skad cig re re la
སྐད་ཅིག་རེ་རེ་ལ་བྱུང་བ	skad cig re re la byung ba
སྐད་ཅིག་ལ་འཇིག་པའི་དོན	skad cig la 'jig pa'i don
སྐད་དོད	skad dod
སྐད་སྨྲས་པ	skad smras pa
སྐད་རིགས་ཆེན་པོ་བཞི	skad rigs chen po bzhi
སྐད་ཤེས	skad shes
སྐད་སོར་བཞག་ཏུ་བཞག	skad sor bzhag tu bzhag
སྐད་གསར་བཅད	skad gsar bcad
སྐབས	skabs
སྐབས་ཁྱད་པར་ཅན་ཡོད་པའི་བསྟན་པ	skabs khyad par can yod pa'i bstan pa
སྐབས་མཆིས་པ	skabs mchis pa
སྐབས་དང་པོའི་སྤྱི་དོན	skabs dang po'i spyi don
སྐབས་འདིར	skabs 'dir
སྐབས་འདིར་དངོས་སུ་བསྟན་པའི་མཚན་ཉིད་ངོ་བོ་ཉིད་མེད་པའི་དོན	skabs 'dir dngos su bstan pa'i mtshan nyid ngo bo nyid med pa'i don
སྐབས་འདིར་བསྟན	skabs 'dir bstan
སྐབས་འདིར་བསྟན་གྱི་ཡིད་མངོན	skabs 'dir bstan gyi yid mngon
སྐབས་ཕྱིན	skabs phyin
སྐབས་མ་མཆིས	skabs ma mchis
སྐབས་མི་འབྱེད	skabs mi 'byed
སྐབས་ཤེས་པ	skabs shes pa
སྐབས་སུ་བབ་པ། སྐབས་སུ་བབས་པ	skabs su bab pa/_skabs su babs pa
སྐབས་སུ་བབས་པ། སྐབས་སུ་བབ་པ	skabs su babs pa/_skabs su bab pa
སྐབས་གསུམ	skabs gsum
སྐམ	skam
སྐར་མདའ	skar mda'
སྐར་མདའ་ལྟུང་བ	skar mda' ltung ba
སྐར་མ	skar ma
སྐར་མ་ལྟ་བུའི་བསྐལ་པ	skar ma lta bu'i bskal pa
སྐར་མའི་ཚོགས	skar ma'i tshogs
སྐལ	skal
སྐལ་མཉམ་གྱི་རྒྱུ	skal mnyam gyi rgyu
སྐལ་མཉམ་པ	skal mnyam pa
སྐལ་དོན	skal don
སྐལ་ལྡན	skal ldan
སྐལ་པ	skal pa
སྐལ་པ་ཅན	skal pa can
སྐལ་པ་བཟང་པོ	skal pa bzang po
སྐལ་པ་རབ་ཏུ་གྱུར་པ	skal pa rab tu gyur pa
སྐལ་བ	skal ba
སྐལ་བ་ཇི་བཞིན	skal ba ji bzhin
སྐལ་བ་མཉམ་པ	skal ba mnyam pa
སྐལ་བ་མེད་པ	skal ba med pa
སྐལ་ཚིགས	skal tshigs
སྐལ་རྫོངས	skal rdzongs
སྐལ་བཟང	skal bzang
སྐུ	sku
སྐུ་སྐྱེ	sku skye
སྐུ་ཁམས	sku khams
སྐུ་ཁྲུས	sku khrus
སྐུ་ཆས	sku chas
སྐུ་ཆེ་དྲང	sku che drang
སྐུ་ཆེ་ཞིང་དྲང་བ	sku che zhing drang ba
སྐུ་མཆེད	sku mched
སྐུ་ཉིད	sku nyid
སྐུ་དང་གསུང་དང་ཐུགས་སྤྲུལ་པ	sku dang gsung dang thugs sprul pa
སྐུ་དམ་པར	sku dam par
སྐུ་གདུང	sku gdung
སྐུ་བདུན་དག	sku bdun dag
སྐུ་མདུན	sku mdun
སྐུ་མདོག	sku mdog
སྐུ་འདྲ	sku 'dra
སྐུ་དཔུང	sku dpung
སྐུ་བླུགས	sku blugs
སྐུ་བླུགས་མ	sku blugs ma
སྐུ་མེད་པ	sku med pa
སྐུ་ཚེ	sku tshe
སྐུ་ཚེ་རིང་བ	sku tshe ring ba
སྐུ་ཟླ	sku zla
སྐུ་ཡི་ཁོ་ལག	sku yi kho lag
སྐུ་ཡོངས་སུ་རྫོགས་པ	sku yongs su rdzogs pa
སྐུ་ལ་དབང་འབྱོར་བ་ཉིད	sku la dbang 'byor ba nyid
སྐུ་གསུམ	sku gsum
སྐུ་གསུམ་ལ་བསྟོད་པ	sku gsum la bstod pa
སྐུ་བསམ་གྱིས་མི་ཁྱབ	sku bsam gyis mi khyab
སྐུའི་ཁྱད་པར	sku'i khyad par
སྐུའི་ཕྲིན་ལས	sku'i phrin las
སྐུར	skur
སྐུར་བཏབས	skur btabs
སྐུར་འདེབས	skur 'debs
སྐུར་པ	skur pa
སྐུར་པ་བཏབ་བྱས	skur pa btab byas
སྐུར་པ་འདེབས	skur pa 'debs
སྐུར་པ་འདེབས་པ	skur pa 'debs pa
སྐུར་བ	skur ba
སྐུར་བ་འདེབས	skur ba 'debs
སྐུར་བ་འདེབས་པ	skur ba 'debs pa
སྐུར་བར་འགྱུར	skur bar 'gyur
སྐུལ	skul
སྐུལ་ཅིང	skul cing
སྐུལ་བར་བྱེད་ཅིང	skul bar byed cing
སྐུལ་བྱེད་མ	skul byed ma
སྐེ་ལྦ་བ	ske lba ba
སྐེམ་ཤིང	skem shing
སྐེམས་པར་བྱེད་ཅིང	skems par byed cing
སྐོང	skong
སྐོངས	skongs
སྐོམ	skom
སྐོམ་པ	skom pa
སྐོམ་པས་གདུངས་པ	skom pas gdungs pa
སྐོམ་པོ	skom po
སྐོར	skor
སྐོར་དགུ	skor dgu
སྐོར་བཅུ་གཅིག	skor bcu gcig
སྐོར་བ	skor ba
སྐོར་བ་བྱ་བར་འོས་པར་འགྱུར་ཏེ	skor ba bya bar 'os par 'gyur te
སྐྱ་ག	skya ga
སྐྱ་ནར་གྱི་བུ	skya nar gyi bu
སྐྱ་བ	skya ba
སྐྱ་བས་ལེགས་བསྲབས	skya bas legs bsrabs
སྐྱ་བོ	skya bo
སྐྱ་སེར་གཉིས	skya ser gnyis
སྐྱབས	skyabs
སྐྱབས་འགྲོ	skyabs 'gro
སྐྱབས་འགྲོའི་སྡོམ་པ	skyabs 'gro'i sdom pa
སྐྱབས་བླ་ན་མེད་པ་ཡིན་པ	skyabs bla na med pa yin pa
སྐྱབས་མེད	skyabs med
སྐྱབས་སུ་འགྲོ་བ	skyabs su 'gro ba
སྐྱབས་སུ་འགྲོ་བའི་སྐབས	skyabs su 'gro ba'i skabs
སྐྱབས་སུ་འགྲོ་བའི་ཁྱད་པར	skyabs su 'gro ba'i khyad par
སྐྱབས་སུ་འགྲོ་བའི་ཆོ་ག	skyabs su 'gro ba'i cho ga
སྐྱབས་སུ་འགྲོ་བར་ངེས་པ	skyabs su 'gro bar nges pa
སྐྱབས་སུ་རབ་ཏུ་སླུ་བ	skyabs su rab tu slu ba
སྐྱབས་སེང	skyabs seng
སྐྱབས་གསུམ	skyabs gsum
སྐྱར་མོ	skyar mo
སྐྱིད	skyid
སྐྱིད་པ	skyid pa
སྐྱིལ་ཀྲུང། སྐྱིལ་མོ་ཀྲུང	skyil krung/_skyil mo krung
སྐྱིལ་མོ་ཀྲུང	skyil mo krung
སྐྱིལ་མོ་ཀྲུང་གཅིག་གིས	skyil mo krung gcig gis
སྐྱུ་ན་གསལ	skyu na gsal
སྐྱུ་རུ་ར	skyu ru ra
སྐྱུག་ཅིང	skyug cing
སྐྱུག་ལོག་པ	skyug log pa
